node_id,partner_status,partner_id,partner_candidate_ids,signature_without_dual_equal,stored_edges_between_pair,semantic_op_dual_edges,involution_test,self_duality
62,UNIQUE_SIGNATURE_PARTNER,61,"[""61""]",true,"[{""id"":""7997"",""source_id"":""61"",""target_id"":""62"",""operator"":""snapshot_v6:0371"",""paths"":2,""source_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
68,UNIQUE_SIGNATURE_PARTNER,66,"[""66""]",true,"[{""id"":""8027"",""source_id"":""66"",""target_id"":""68"",""operator"":""snapshot_v6:0409"",""paths"":1,""source_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
70,UNIQUE_SIGNATURE_PARTNER,67,"[""67""]",true,"[{""id"":""8050"",""source_id"":""67"",""target_id"":""70"",""operator"":""snapshot_v6:0438"",""paths"":1,""source_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":2,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":2,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
77,UNIQUE_SIGNATURE_PARTNER,76,"[""76""]",true,"[{""id"":""7712"",""source_id"":""76"",""target_id"":""77"",""operator"":""snapshot_v6:0004"",""paths"":2,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""},{""id"":""7737"",""source_id"":""77"",""target_id"":""76"",""operator"":""snapshot_v6:0033"",""paths"":3,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
81,UNIQUE_SIGNATURE_PARTNER,79,"[""79""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
82,UNIQUE_SIGNATURE_PARTNER,80,"[""80""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
86,UNIQUE_SIGNATURE_PARTNER,85,"[""85""]",true,"[{""id"":""7744"",""source_id"":""85"",""target_id"":""86"",""operator"":""snapshot_v6:0043"",""paths"":6,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""},{""id"":""7924"",""source_id"":""86"",""target_id"":""85"",""operator"":""snapshot_v6:0258"",""paths"":1,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""},{""id"":""8243"",""source_id"":""86"",""target_id"":""85"",""operator"":""snapshot_v6:0693"",""paths"":1,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
90,UNIQUE_SIGNATURE_PARTNER,88,"[""88""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
91,UNIQUE_SIGNATURE_PARTNER,89,"[""89""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
95,UNIQUE_SIGNATURE_PARTNER,94,"[""94""]",true,"[{""id"":""7750"",""source_id"":""94"",""target_id"":""95"",""operator"":""snapshot_v6:0051"",""paths"":6,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":2,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":2,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""},{""id"":""7936"",""source_id"":""95"",""target_id"":""94"",""operator"":""snapshot_v6:0278"",""paths"":1,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":2,""boundary_condition"":null,""occupancy"":null,""dual"":1},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":2,""boundary_condition"":null,""occupancy"":null,""dual"":0},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
