rank,id,kind,dim,verdict,classification,semantic_risk,semantic_risk_flags,root_classes,root_diversity,unique_parents,parent_signature_diversity,paths,provenance_quality,parent_ids,parent_kinds,parent_dimensions,parent_boundary_conditions,parent_symmetry_classes
11,228,WEIGHT,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,7,7,9,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""67"",""133"",""210"",""211"",""220"",""225""]","[""BUNDLE"",""CYCLE"",""SYMMETRY"",""WEIGHT""]","[""0"",""1""]","[""∅"",""D"",""N""]","[""∅"",""S-a"",""S+a""]"
12,241,BUNDLE,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,6,6,75,SNAPSHOT_IDENTIFIER_ONLY,"[""121"",""122"",""124"",""125"",""266"",""286""]","[""CYCLE"",""PRODUCT""]","[""1"",""2""]","[""∅""]","[""S+a""]"
13,225,WEIGHT,1,UNMATCHED,REQUIRES_PROVENANCE,MEDIUM,"[""heterogeneous_parent_kinds"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,5,5,16,SNAPSHOT_IDENTIFIER_ONLY,"[""66"",""130"",""131"",""134"",""135""]","[""BUNDLE"",""CYCLE""]","[""1""]","[""∅""]","[""S-a""]"
14,242,BUNDLE,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,5,5,15,SNAPSHOT_IDENTIFIER_ONLY,"[""130"",""131"",""134"",""135"",""291""]","[""CYCLE"",""PRODUCT""]","[""1"",""2""]","[""∅""]","[""S-a""]"
15,326,PRODUCT,3,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,5,5,15,SNAPSHOT_IDENTIFIER_ONLY,"[""130"",""131"",""134"",""135"",""291""]","[""CYCLE"",""PRODUCT""]","[""1"",""2""]","[""∅""]","[""S-a""]"
16,66,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,MEDIUM,"[""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,4,4,120,SNAPSHOT_IDENTIFIER_ONLY,"[""130"",""131"",""134"",""135""]","[""CYCLE""]","[""1""]","[""∅""]","[""S-a""]"
17,291,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,MEDIUM,"[""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,4,4,120,SNAPSHOT_IDENTIFIER_ONLY,"[""130"",""131"",""134"",""135""]","[""CYCLE""]","[""1""]","[""∅""]","[""S-a""]"
18,306,WEIGHT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,3,3,4,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""266"",""301""]","[""PRODUCT"",""SYMMETRY"",""WEIGHT""]","[""0"",""2""]","[""∅""]","[""∅"",""S+a""]"
19,307,WEIGHT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,3,3,4,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""271"",""301""]","[""PRODUCT"",""SYMMETRY"",""WEIGHT""]","[""0"",""2""]","[""∅""]","[""∅"",""S-a""]"
20,64,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,2,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""61""]","[""BUNDLE"",""CARRIER""]","[""0"",""1""]","[""∅""]","[""∅"",""S+a""]"
