rank,id,kind,dim,verdict,classification,semantic_risk,semantic_risk_flags,root_classes,root_diversity,unique_parents,parent_signature_diversity,paths,provenance_quality,parent_ids,parent_kinds,parent_dimensions,parent_boundary_conditions,parent_symmetry_classes
51,217,WEIGHT,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D""]",5,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""210""]","[""CARRIER"",""WEIGHT""]","[""0"",""1""]","[""∅"",""D""]","[""∅""]"
52,218,WEIGHT,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND N""]",5,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""211""]","[""CARRIER"",""WEIGHT""]","[""0"",""1""]","[""∅"",""N""]","[""∅""]"
53,219,WEIGHT,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND N""]",5,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""211""]","[""CARRIER"",""WEIGHT""]","[""0"",""1""]","[""∅"",""N""]","[""∅""]"
54,282,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D""]",5,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""276""]","[""CARRIER"",""PRODUCT""]","[""0"",""2""]","[""∅"",""D""]","[""∅""]"
55,283,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D""]",5,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""276""]","[""CARRIER"",""PRODUCT""]","[""0"",""2""]","[""∅"",""D""]","[""∅""]"
56,284,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND N""]",5,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""277""]","[""CARRIER"",""PRODUCT""]","[""0"",""2""]","[""∅"",""N""]","[""∅""]"
57,285,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND N""]",5,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""277""]","[""CARRIER"",""PRODUCT""]","[""0"",""2""]","[""∅"",""N""]","[""∅""]"
58,316,PRODUCT,3,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE""]",3,10,10,266,SNAPSHOT_IDENTIFIER_ONLY,"[""76"",""77"",""79"",""80"",""81"",""82"",""257"",""258"",""260"",""261""]","[""CYCLE"",""PRODUCT""]","[""1"",""2""]","[""∅""]","[""∅""]"
59,10,BUNDLE,0,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE""]",3,7,7,14,SNAPSHOT_IDENTIFIER_ONLY,"[""0"",""76"",""77"",""79"",""80"",""81"",""82""]","[""BOUNDARY"",""CYCLE""]","[""0"",""1""]","[""∅""]","[""∅""]"
60,329,BUNDLE,4,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE""]",3,7,7,14,SNAPSHOT_IDENTIFIER_ONLY,"[""76"",""77"",""79"",""80"",""81"",""82"",""331""]","[""CYCLE"",""PRODUCT""]","[""1"",""4""]","[""∅""]","[""∅""]"
61,301,WEIGHT,2,UNMATCHED,REQUIRES_PROVENANCE,MEDIUM,"[""heterogeneous_parent_kinds"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE""]",3,5,5,24,SNAPSHOT_IDENTIFIER_ONLY,"[""232"",""257"",""258"",""260"",""261""]","[""BUNDLE"",""PRODUCT""]","[""2""]","[""∅""]","[""∅""]"
62,319,PRODUCT,3,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE""]",3,2,2,5,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""316""]","[""CARRIER"",""PRODUCT""]","[""0"",""3""]","[""∅""]","[""∅""]"
63,320,PRODUCT,3,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE""]",3,2,2,5,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""316""]","[""CARRIER"",""PRODUCT""]","[""0"",""3""]","[""∅""]","[""∅""]"
64,304,WEIGHT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE""]",3,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""301""]","[""CARRIER"",""WEIGHT""]","[""0"",""2""]","[""∅""]","[""∅""]"
65,305,WEIGHT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE""]",3,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""301""]","[""CARRIER"",""WEIGHT""]","[""0"",""2""]","[""∅""]","[""∅""]"
66,342,PRODUCT,4,UNMATCHED,LOW_RISK,LOW,"[""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,3,3,8,SNAPSHOT_IDENTIFIER_ONLY,"[""271"",""291"",""292""]","[""PRODUCT""]","[""2""]","[""∅""]","[""S-a""]"
67,340,PRODUCT,4,UNMATCHED,LOW_RISK,LOW,"[""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,9,SNAPSHOT_IDENTIFIER_ONLY,"[""266"",""286""]","[""PRODUCT""]","[""2""]","[""∅""]","[""S+a""]"
68,0,BOUNDARY,0,UNMATCHED,LOW_RISK,LOW,"[""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE""]",3,4,4,19,SNAPSHOT_IDENTIFIER_ONLY,"[""32"",""33"",""35"",""36""]","[""BUNDLE""]","[""1""]","[""∅""]","[""∅""]"
69,16,INTEGER,0,UNMATCHED,LOW_RISK,LOW,[],"[""CARRIER +1"",""CARRIER -1""]",2,3,3,4,SNAPSHOT_IDENTIFIER_ONLY,"[""14"",""17"",""18""]","[""INTEGER""]","[""0""]","[""∅""]","[""∅""]"
70,13,INTEGER,0,UNMATCHED,LOW_RISK,LOW,"[""heterogeneous_parent_kinds""]","[""CARRIER +1"",""CARRIER -1""]",2,2,2,5,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""16""]","[""CARRIER"",""INTEGER""]","[""0""]","[""∅""]","[""∅""]"
71,14,INTEGER,0,UNMATCHED,LOW_RISK,LOW,[],"[""CARRIER +1"",""CARRIER -1""]",2,2,2,4,SNAPSHOT_IDENTIFIER_ONLY,"[""13"",""16""]","[""INTEGER""]","[""0""]","[""∅""]","[""∅""]"
72,17,INTEGER,0,UNMATCHED,LOW_RISK,LOW,"[""heterogeneous_parent_kinds""]","[""CARRIER +1"",""CARRIER -1""]",2,2,2,3,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""14""]","[""CARRIER"",""INTEGER""]","[""0""]","[""∅""]","[""∅""]"
73,18,INTEGER,0,UNMATCHED,LOW_RISK,LOW,"[""heterogeneous_parent_kinds""]","[""CARRIER +1"",""CARRIER -1""]",2,2,2,2,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""14""]","[""CARRIER"",""INTEGER""]","[""0""]","[""∅""]","[""∅""]"
74,21,INTEGER,0,UNMATCHED,LOW_RISK,LOW,"[""heterogeneous_parent_kinds""]","[""CARRIER +1"",""CARRIER -1""]",2,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""16""]","[""CARRIER"",""INTEGER""]","[""0""]","[""∅""]","[""∅""]"
